client_id,country,survey_date,age,gender,strata,client_location,nationality,education_level,business_sector,only_income_earner,number_of_people_reponsible,business_location,is_business_registered,has_access_to_finance_in_past6months,have_bank_account,monthly_customer,kept_sales_record,job_created,revenue,hh_expense,nps_detractor,nps_passive,nps_promoter,satisfied_yes,satisfied_no
EB2E2F413E84742BFAA4,Rwanda,16/12/2022,34,Female,Refugee,Gatsibo,Congolese,Attended Primary,,Yes,0,Gatsibo,No,No,No,50,Yes,1,4.686035614,,0,1,0,1,0
3AFDDC837F7708726702,Rwanda,18/12/2022,34,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,3,Gatsibo,No,No,Yes,55,Yes,2,56.23242737,,0,1,0,1,0
88293FF22ABB9BB12782,Rwanda,15/12/2022,32,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,4,Gatsibo,No,No,Yes,200,Yes,1,93.72071228,,0,1,0,1,0
831D6EC548106E45FC8B,Rwanda,12/07/2022,32,Male,Refugee,Nyabiheke Camp,Congolese,Attended High School,,Yes,3,Nyabiheke Camp,No,No,Yes,900,Yes,4,2061.85567,,0,1,0,1,0
3E9937B916EB192B1A0D,Rwanda,16/12/2022,30,Female,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,3,Gatsibo,No,No,Yes,180,Yes,2,243.6738519,,0,1,0,1,0
BA8664B4F39432BD97CD,Rwanda,14/12/2022,28,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,3,Gatsibo,No,No,Yes,50,Yes,2,93.72071228,,0,1,0,1,0
631F10C70213D2F4FA68,Rwanda,18/12/2022,26,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,8,Gatsibo,No,No,Yes,80,Yes,2,56.23242737,,0,1,0,1,0
F3F4E91AED74094AB5FC,Rwanda,12/08/2022,25,Female,Refugee,Nyabiheke Camp,Congolese,Finished High School Graduate,,Yes,2,Nyabiheke Camp,No,No,Yes,300,Yes,2,487.3477038,,1,0,0,1,0
ED186131FF866251A6B3,Rwanda,14/12/2022,25,Male,Refugee,Gatsibo,Congolese,Attended High School,,No,6,Gatsibo,No,No,Yes,180,Yes,2,60.91846298,,0,1,0,1,0
0D3084D2F330FFAEDBC6,Rwanda,12/06/2022,40,Female,Refugee,Nyabiheke Camp,Congolese,Finished High School Graduate,,Yes,3,Nyabiheke Camp,No,No,Yes,200,Yes,2,140.5810684,,0,1,0,1,0
96749568C0F03F02BA02,Rwanda,15/12/2022,24,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,10,Gatsibo,No,No,Yes,75,Yes,1,140.5810684,,0,1,0,1,0
9984FED7D2C4BA003750,Rwanda,12/08/2022,22,Female,Refugee,Nyabiheke Camp,Congolese,Finished High School Graduate,,Yes,9,Nyabiheke Camp,No,No,Yes,960,Yes,8,5623.242737,,0,1,0,1,0
53A73919A8F4812F2DCC,Rwanda,18/12/2022,21,Male,Refugee,Gatsibo,Congolese,Attended High School,,No,1,Gatsibo,No,No,Yes,60,Yes,1,74.97656982,,0,1,0,1,0
BADF22BADC33ED8FD50B,Rwanda,13/12/2022,20,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,No,9,Gatsibo,No,No,Yes,250,Yes,1,93.72071228,,0,1,0,1,0
45E3A36D2B6F03A1D510,Rwanda,18/12/2022,22,Male,Refugee,Gatsibo,Rwandan,Finished High School Graduate,,No,2,Gatsibo,No,No,Yes,50,Yes,3,515.4639175,,0,1,0,1,0
B5BD679084F036CBB08E,Rwanda,19/12/2022,23,Male,Refugee,Gatsibo,Congolese,Diploma,,Yes,4,Gatsibo,No,No,Yes,100,Yes,5,112.4648547,,0,1,0,1,0
EC11B9772D5206ADA273,Rwanda,18/12/2022,28,Female,Refugee,Gatsibo,Congolese,Attended Primary,,Yes,3,Gatsibo,No,No,Yes,150,Yes,1,46.86035614,,0,1,0,1,0
C12632B545A1C5152258,Rwanda,15/12/2022,24,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,10,Gatsibo,No,No,Yes,45,Yes,1,28.11621368,,0,1,0,1,0
3E4FE27C9B671E5101A0,Rwanda,15/12/2022,28,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,9,Gatsibo,No,No,Yes,40,Yes,1,56.23242737,,0,1,0,1,0
5331D38EDC5FC029D6F2,Rwanda,16/12/2022,28,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,6,Gatsibo,No,Yes,Yes,80,Yes,1,28.11621368,,0,1,0,1,0
BC3E95C86CA23A68CE34,Rwanda,14/12/2022,26,Female,Refugee,Gatsibo,Congolese,Finished High School Graduate,,Yes,10,Gatsibo,No,No,Yes,40,Yes,3,93.72071228,,0,0,1,1,0
360FB8D5D36049214028,Rwanda,12/08/2022,27,Male,Refugee,Nyabiheke Camp,Congolese,Finished Primary,,Yes,7,Nyabiheke Camp,No,Yes,Yes,250,Yes,2,281.1621368,,0,1,0,1,0
ED5B7F5D39F4D2948310,Rwanda,19/12/2022,22,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,No,6,Gatsibo,No,No,Yes,120,Yes,1,140.5810684,,0,1,0,1,0
BF96E0258E72171A0BBA,Rwanda,13/12/2022,25,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,No,10,Gatsibo,No,No,Yes,180,Yes,2,281.1621368,,0,0,1,1,0
F7DD79FF0CF40EB239EF,Rwanda,18/12/2022,28,Female,Refugee,Gatsibo,Congolese,Attended High School,,Yes,3,Gatsibo,No,No,No,50,Yes,1,28.11621368,,0,1,0,1,0
D6734E596B306A6C3486,Rwanda,13/12/2022,22,Male,Refugee,Gatsibo,Congolese,Finished High School Graduate,,No,6,Gatsibo,No,No,Yes,180,Yes,1,40.29990628,,0,0,1,1,0
DFBAC8E51651AA4F4E27,Rwanda,12/08/2022,27,Male,Refugee,Nyabiheke Camp,Congolese,Attended High School,,Yes,5,Nyabiheke Camp,No,No,Yes,240,Yes,1,138.7066542,,0,1,0,1,0
B82843D7C4664DBB79F8,Rwanda,12/08/2022,24,Female,Refugee,Nyabiheke Camp,Congolese,Finished Primary,,Yes,4,Nyabiheke Camp,No,No,Yes,450,No,1,93.72071228,,1,0,0,1,0
31DF78A69E8BEC2B5C9D,Rwanda,15/12/2022,58,Male,Refugee,Gatsibo,Congolese,No Formal Education,,No,7,Gatsibo,No,No,No,35,No,1,46.86035614,,0,1,0,0,1
6C2A10417A7CCE8DEF2B,Rwanda,12/12/2022,22,Male,Refugee,Kigeme Camp,Congolese,Finished High School Graduate,,Yes,12,Kigeme Camp,No,No,Yes,150,No,3,777.8819119,,0,1,0,1,0
AB8AA536B262952A71D0,Rwanda,12/08/2022,29,Female,Refugee,Nyabiheke Camp,Congolese,Attended High School,,Yes,5,Nyabiheke Camp,No,No,Yes,200,Yes,1,46.86035614,,0,1,0,1,0
BBF8C8C3FE98496850D9,Rwanda,13/12/2022,38,Female,Refugee,Gatsibo,Congolese,Attended High School,,Yes,4,Gatsibo,No,No,No,75,Yes,1,28.11621368,,0,0,1,1,0
8D094F1C5B0105CC93E2,Rwanda,12/06/2022,45,Female,Refugee,Nyabiheke Camp,Congolese,No Formal Education,,Yes,9,Nyabiheke Camp,No,No,Yes,180,Yes,3,449.8594189,,0,1,0,1,0
D8510FB9C6621C4C6E2B,Rwanda,12/09/2022,44,Female,Refugee,Nyabiheke Camp,Congolese,No Formal Education,,Yes,7,Nyabiheke Camp,No,Yes,Yes,280,No,3,1030.927835,,0,1,0,1,0
3B3041EF315E12B39806,Rwanda,12/06/2022,49,Female,Refugee,Nyabiheke Camp,Congolese,No Formal Education,,No,9,Nyabiheke Camp,No,Yes,Yes,200,Yes,4,374.8828491,,0,0,1,1,0
79370A6F79AD2FF9CF0D,Rwanda,13/12/2022,36,Female,Refugee,Gatsibo,Congolese,Attended High School,,Yes,4,Gatsibo,No,No,Yes,150,Yes,1,65.60449859,,0,1,0,1,0
78F928975472E23A5DF7,Rwanda,19/12/2022,58,Male,Refugee,Gatsibo,Congolese,Finished Primary,,,0,Gatsibo,,,,0,,0,0,,1,0,0,0,0
9BF32879690C7C7F0200,Rwanda,12/07/2022,49,Female,Refugee,Nyabiheke Camp,Congolese,No Formal Education,,Yes,9,Nyabiheke Camp,No,No,Yes,200,Yes,3,468.6035614,,0,1,0,1,0
F691961E82926875B518,Rwanda,12/06/2022,40,Female,Refugee,Nyabiheke Camp,Congolese,No Formal Education,,Yes,7,Nyabiheke Camp,No,No,Yes,60,Yes,1,46.86035614,,0,1,0,1,0
